Designator,Footprint,Quantity,Value,LCSC Part #
A1,RaspberryPi_Pico_Common_THT,1,RaspberryPi_Pico,
C1,C_Disc_D6.0mm_W4.4mm_P5.00mm,1,10µF,C531341
C2,C_Disc_D6.0mm_W4.4mm_P5.00mm,1,22µF,C5259863
"J1, J3, J4, J5, J7",JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,5,Conn_01x02,C378939
"J2, J6",TerminalBlock_CUI_TB007-508-02_1x02_P5.08mm_Horizontal,2,Screw_Terminal,C8465
"Q1, Q2",TO-220-3_Horizontal_TabDown,2,IRLZ44N,C38774
"R1, R2",R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal,2,100Ω,C120214
"R3, R4",R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal,2,100KΩ,C119444
R6,R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal,1,120Ω,C359996
R7,R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal,1,4.7KΩ,C119429
U1,SOIC-8_3.9x4.9mm_P1.27mm,1,SN65HVD230,C16468
U2,Converter_DCDC_RECOM_R-78E-0.5_THT,1,R-78E5.0-1.0,C22371890
